X,Y,OBJECTID,SAP_EQUIPMENT,ITEM_DESCRIPTION,ITEM_TYPE,SAP_FUNCTIONAL_LOCATION,PARK_NUMBER,PARK_NAME,SUBURB,POWER_TYPE,NUMBER_OF_PLATES,LONG,LAT
506406.0463,6981157.342,117,200478574,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1875-N004,D0276,SANDGATE FORESHORES PARK,SANDGATE,MAINS POWER,1,153.0647356,-27.29257237
503617.9513,6952588.202,118,100119557,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1638-N015,D0553,SALISBURY RECREATION RESERVE,SALISBURY,MAINS POWER,1,153.0366458,-27.55050621
502874.2545,6952842.068,119,200478763,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1639-N003,D0551,BILL MOORE PARK,SALISBURY,WOOD FIRED,1,153.0291124,-27.54821611
504185.6241,6950538.377,120,200478783,BBQ - WOOD SINGLE,BARBEQUE,B-RE-2216-N002,D1472,JOY TAYLOR PARK,COOPERS PLAINS,WOOD FIRED,1,153.0424028,-27.56901012
505268.7487,6965524.837,121,200471729,BBQ - WOOD SINGLE,BARBEQUE,B-RE-2431-N002,D0836,MIKADO STREET PARK,ASCOT,WOOD FIRED,1,153.0533103,-27.43370941
509863.0004,6950683.859,122,200481713,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-2165-N003,D1144,MAISIE DIXON PARK,EIGHT MILE PLAINS,MAINS POWER,1,153.0999168,-27.56766727
503344.2665,6971617.694,123,200480335,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-2004-N035,D0228,7TH BRIGADE PARK,CHERMSIDE,MAINS POWER,2,153.0338212,-27.37870876
498544.0236,6973558.972,124,200479071,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-2471-N002,D0798,WENDON WAY PARK,BRIDGEMAN DOWNS,MAINS POWER,1,152.9852777,-27.36118599
491246.7153,6959023.18,125,200471625,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1878-N002,D0273,BROOKFIELD RECREATION RESERVE,BROOKFIELD,WOOD FIRED,1,152.9113856,-27.49238834
505086.5913,6946384.536,126,200482018,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-2486-N002,D0819,VOGLER PARK,SUNNYBANK HILLS,MAINS POWER,1,153.0515477,-27.60650722
505034.1187,6969810.758,127,100124337,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1996-N003,D0236,FRANK ROBERTS PARK,WAVELL HEIGHTS,MAINS POWER,1,153.0509185,-27.39501675
497356.5643,6954638.403,128,200482039,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-2018-N015,D0305,SHERWOOD ARBORETUM,SHERWOOD,MAINS POWER,2,152.9732294,-27.53199946
499803.9454,6959339.187,129,200482008,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1908-N005,D0346,ORLEIGH PARK,WEST END,MAINS POWER,1,152.9980153,-27.48956364
501833.4228,6971579.597,130,200488634,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1771-N004,D0216,FREDERICK ANNAND PARK,CHERMSIDE WEST,MAINS POWER,2,153.0185418,-27.37905556
510057.8299,6961892.187,131,200503381,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1858-N005,D0051,MURARRIE RECREATION GROUND,MURARRIE,MAINS POWER,1,153.1017973,-27.46647802
